CO_IES;CO_CATEGORIA_ADMINISTRATIVA;CO_ORGANIZACAO_ACADEMICA;TP_TURNO;CO_GRAU_ACADEMICO;CO_ALUNO;TP_SITUACAO;TP_COR_RACA;TP_SEXO;NU_ANO_NASCIMENTO;NU_MES_NASCIMENTO;NU_DIA_NASCIMENTO;IDADE;CO_NACIONALIDADE;CO_PAIS_ORIGEM;TP_DEFICIENCIA;IN_DEFICIENCIA_AUDITIVA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_INTELECTUAL;IN_DEFICIENCIA_MULTIPLA;IN_DEFICIENCIA_SURDEZ;IN_DEFICIENCIA_SURDOCEGUEIRA;IN_DEFICIENCIA_BAIXA_VISAO;IN_DEFICIENCIA_CEGUEIRA;DT_INGRESSO_CURSO;IN_ATIVIDADE_EXTRACURRICULAR;IN_RESERVA_VAGAS;IN_FINANCIAMENTO_ESTUDANTIL;IN_INGRESSO_VESTIBULAR;IN_INGRESSO_ENEM;IN_INGRESSO_OUTRO_TIPO_SELECAO;IN_INGRESSO_CONVENIO_PECG;IN_INGRESSO_OUTRA_FORMA;IN_RESERVA_ETNICO;IN_RESERVA_DEFICIENCIA;IN_RESERVA_ENSINO_PUBLICO;IN_RESERVA_RENDA_FAMILIAR;IN_RESERVA_OUTRA;IN_FIN_REEMB_FIES;IN_FIN_REEMB_ESTADUAL;IN_FIN_REEMB_MUNICIPAL;IN_FIN_REEMB_PROG_IES;IN_FIN_REEMB_ENT_EXTERNA;IN_FIN_REEMB_OUTRA;IN_FIN_NAOREEMB_PROUNI_INTEGR;IN_FIN_NAOREEMB_PROUNI_PARCIAL;IN_FIN_NAOREEMB_ESTADUAL;IN_FIN_NAOREEMB_MUNICIPAL;IN_FIN_NAOREEMB_PROG_IES;IN_FIN_NAOREEMB_ENT_EXTERNA;IN_FIN_NAOREEMB_OUTRA;IN_APOIO_SOCIAL;IN_APOIO_ALIMENTACAO;IN_APOIO_BOLSA_PERMANENCIA;IN_APOIO_BOLSA_TRABALHO;IN_APOIO_MATERIAL_DIDATICO;IN_APOIO_MORADIA;IN_APOIO_TRANSPORTE;IN_COMPLEMENTAR_ESTAGIO;IN_COMPLEMENTAR_EXTENSAO;IN_COMPLEMENTAR_MONITORIA;IN_COMPLEMENTAR_PESQUISA;IN_BOLSA_ESTAGIO;IN_BOLSA_EXTENSAO;IN_BOLSA_MONITORIA;IN_BOLSA_PESQUISA;IN_MATRICULA;IN_CONCLUINTE;IN_INGRESSO_TOTAL;IN_INGRESSO_PROCESSO_SELETIVO;IN_OUTRAS_FORMAS;ANO_INGRESSO;ANO_BASE;TEMPO;TP_ESCOLA_CONCLUSAO_ENS_MEDIO;IN_DEFICIENCIA_SUPERDOTACAO;IN_TGD_AUTISMO_INFANTIL;IN_TGD_SINDROME_ASPERGER;IN_TGD_SINDROME_RETT;IN_TGD_TRANSTOR_DESINTEGRATIVO;IN_ALUNO_PARFOR;TP_SEMESTRE_CONCLUSAO;IN_INGRESSO_AVALIACAO_SERIADA;IN_INGRESSO_TRANSF_EXOFFICIO;IN_INGRESSO_DECISAO_JUDICIAL;IN_INGRESSO_VAGA_NOVA;IN_INGRESSO_SELECAO_SIMPLIFICA;IN_INGRESSO_VAGA_REMANESC;IN_INGRESSO_VAGA_PROG_ESPECIAL;TP_SEMESTRE_REFERENCIA;IN_MOBILIDADE_ACADEMICA;CO_PAIS_DESTINO;CO_MOBILIDADE_ACADEMICA;CO_MOBILIDADE_ACADEMICA_INTERN;CO_IES_DESTINO;QT_CARGA_HORARIA_TOTAL;QT_CARGA_HORARIA_INTEG;IN_INGRESSO_EGRESSO
1;1;1;3;1;400004326584;3;1;2;1991;1;2;26;1;76;2;;;;;;;;;01/01/2015;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2015;2017;3;1;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;480;0
1;1;1;3;1;400004326663;3;3;2;1990;7;5;27;1;76;2;;;;;;;;;01/01/2015;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2015;2017;3;1;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;364;0
1;1;1;3;1;400004326687;2;2;2;1991;12;2;26;1;76;2;;;;;;;;;01/01/2017;0;1;;0;1;;0;;1;0;1;0;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;1;0;1;;;2017;2017;1;1;;;;;;;;0;0;0;1;0;0;0;2;0;;;;;3088;1136;0
1;1;1;3;1;400004326716;3;1;2;1989;2;1;28;1;76;2;;;;;;;;;01/01/2016;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2016;2017;2;1;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;0;0
1;1;1;3;1;400005023540;3;1;2;1988;7;18;29;1;76;2;;;;;;;;;01/07/2015;0;1;;0;1;;0;;0;0;1;1;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2015;2017;3;1;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;0;0
1;1;1;3;1;400005104881;2;3;2;1985;7;25;32;1;76;2;;;;;;;;;01/01/2014;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;1;0;0;;;2014;2017;4;2;;;;;;;;0;0;0;0;0;1;0;2;0;;;;;3088;1728;0
1;1;1;3;1;400005474025;2;3;2;1987;8;12;30;1;76;2;;;;;;;;;01/01/2015;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;1;0;0;;;2015;2017;3;2;;;;;;;;0;0;0;0;0;1;0;2;0;;;;;3088;1792;0
1;1;1;3;1;400005720573;3;3;1;1990;10;5;27;1;76;2;;;;;;;;;01/01/2015;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2015;2017;3;2;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;64;0
1;1;1;3;1;400006163112;2;1;1;1984;8;21;33;1;76;2;;;;;;;;;01/07/2013;1;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;1;;;;1;1;0;0;;;2013;2017;5;1;;;;;;;;0;0;0;0;0;1;0;2;0;;;;;3088;1344;0
1;1;1;3;1;400006300213;3;2;2;1974;8;5;43;1;76;2;;;;;;;;;01/01/2015;0;1;;0;1;;0;;1;0;1;0;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2015;2017;3;1;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;0;0
1;1;1;3;1;400006420907;2;2;1;1982;1;8;35;1;76;2;;;;;;;;;01/07/2015;0;1;;0;1;;0;;1;0;1;1;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;1;0;0;;;2015;2017;3;1;;;;;;;;0;0;0;0;0;0;0;2;0;;;;;3088;0;0
1;1;1;3;1;400006422097;3;3;2;1985;9;21;32;1;76;2;;;;;;;;;01/01/2014;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2014;2017;4;1;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;128;0
1;1;1;3;1;400006423451;3;0;1;1990;4;7;27;1;76;2;;;;;;;;;01/07/2010;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2010;2017;8;9;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;2436;0
1;1;1;3;1;400006424145;3;1;2;1987;4;23;30;1;76;2;;;;;;;;;01/01/2016;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2016;2017;2;2;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;160;0
1;1;1;3;1;400006424857;3;2;2;1988;10;7;29;1;76;2;;;;;;;;;01/07/2014;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2014;2017;4;2;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;320;0
1;1;1;3;1;400006425346;3;3;1;1992;6;2;25;1;76;2;;;;;;;;;01/01/2014;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2014;2017;4;2;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;128;0
1;1;1;3;1;400006429939;3;3;2;1967;6;3;50;1;76;2;;;;;;;;;01/01/2014;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2014;2017;4;1;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;128;0
1;1;1;3;1;400006431715;3;2;1;1981;2;2;36;1;76;2;;;;;;;;;01/01/2014;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2014;2017;4;1;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;64;0
1;1;1;3;1;400006433984;3;3;2;1980;12;8;37;1;76;2;;;;;;;;;01/01/2016;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2016;2017;2;1;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;640;0
1;1;1;3;1;400006945859;4;1;2;1986;10;25;31;1;76;2;;;;;;;;;01/01/2012;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2012;2017;6;2;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;224;0
1;1;1;3;1;400006947233;4;1;2;1989;10;8;28;1;76;2;;;;;;;;;01/07/2014;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2014;2017;4;1;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;288;0
1;1;1;3;1;400006947378;4;3;2;1988;3;22;29;1;76;2;;;;;;;;;01/07/2013;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2013;2017;5;2;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;128;0
1;1;1;3;1;400007660879;3;1;2;1960;2;19;57;1;76;2;;;;;;;;;01/01/2014;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2014;2017;4;1;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;0;0
1;1;1;3;1;400008354669;3;3;1;1984;4;15;33;1;76;2;;;;;;;;;01/07/2015;0;1;;0;1;;0;;1;0;1;1;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2015;2017;3;1;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;64;0
1;1;1;3;1;400008358829;3;1;2;1981;5;29;36;1;76;2;;;;;;;;;01/07/2013;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2013;2017;5;1;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;320;0
1;1;1;3;1;400008499395;3;3;2;1977;11;9;40;1;76;2;;;;;;;;;01/01/2012;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2012;2017;6;1;;;;;;;;0;0;0;0;0;1;0;2;;;;;;3088;64;0
1;1;1;3;1;400008499727;3;3;2;1979;7;23;38;1;76;2;;;;;;;;;01/07/2014;0;1;;0;1;;0;;0;0;1;1;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2014;2017;4;1;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;1038;0
1;1;1;3;1;400008499732;3;0;2;1982;9;23;35;1;76;2;;;;;;;;;01/01/2010;0;0;;1;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2010;2017;8;9;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;1480;0
1;1;1;3;1;400008500199;3;3;1;1980;2;3;37;1;76;2;;;;;;;;;01/01/2012;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2012;2017;6;2;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;1280;0
1;1;1;3;1;400008501079;4;3;1;1970;11;6;47;1;76;2;;;;;;;;;01/07/2010;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2010;2017;8;9;;;;;;;;0;0;0;0;0;0;0;1;;;;;;3088;288;0
1;1;1;3;1;400008502337;2;3;2;1984;9;13;33;1;76;2;;;;;;;;;01/07/2013;0;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;1;0;0;;;2013;2017;5;1;;;;;;;;0;0;0;0;0;1;0;2;0;;;;;3088;1482;0
1;1;1;3;1;400008502509;3;3;2;1980;12;18;37;1;76;2;;;;;;;;;01/07/2012;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2012;2017;6;2;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;448;0
1;1;1;3;1;400008502802;3;1;2;1987;10;3;30;1;76;2;;;;;;;;;01/07/2010;0;0;;0;1;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;0;;;2010;2017;8;9;;;;;;;;0;0;0;0;0;0;0;2;;;;;;3088;360;0
